Wielkosc;Czas nano sekundy;q;T(N);;
200;20491022;1,101563163;170312433;;
200;5236387;1,186121864;40419837,43;;
200;5153563;1,187186798;39744832,33;;
200;5220689;1,18632226;40291856,75;;
200;5640207;1,181184855;43718908,56;;
300;6964551;1,167389657;54622229,14;;
300;5694560;1,180550491;44163933,28;;
300;5328266;1,184962212;41169304,94;;
300;5112273;1,187724832;39408539,41;;
300;10476694;1,141578093;84025435,38;;
400;8381276;1,155541327;66407449,14;;
400;4601057;1,19481697;35257244,66;;
400;8339394;1,155858712;66057461,46;;
400;17125632;1,111987525;141006401,8;;
400;4202478;1,200984557;32037613,93;;
500;6331302;1,17358463;49393608,42;;
500;7203408;1,165213875;56601052,19;;
500;8654281;1,153514661;68691027,37;;
500;11437776;1,136178234;92169506;;
500;10197010;1,143253213;81662477,69;;
600;7048219;1,166618208;55314982,27;;
600;11584129;1,135400226;93412833,69;;
600;11035591;1,138374363;88757002,7;;
600;30513971;1,079110576;258895748,2;;
600;8190340;1,157002778;64812633,34;;
700;17295929;1,111407462;142482892,7;;
700;12986341;1,128455932;105364506,3;;
700;17697423;1,110064523;145966752,7;;
700;20674890;1,101049227;171920873,6;;
700;26436829;1,087091512;222656508,7;;
800;27458253;1,084970637;231711215,5;;
800;27246046;1,08540402;229828666,8;;
800;20269729;1,102188505;168377556,6;;
800;18176095;1,10850677;150125467,3;;
800;18720375;1,106789674;154860830,4;;
900;25790221;1,088481392;216933285;;
900;29153943;1,081634935;246779302,6;;
900;24590920;1,091164113;206336871,3;;
900;44895502;1,058194369;388444989,5;;
900;43075978;1,060396452;371928123,2;;
1000;57915168;1,044839588;507498589,4;;
1000;36025226;1,070016727;308253690,7;;
1000;44403614;1,058779855;383976625,1;;
1000;38247667;1,066775457;328264616,1;;
1000;67890498;1,036674629;599595910,9;;
1000;161630458;0,994264999;1488377823;;
1000;48147572;1,054492815;418044875,6;;
1000;1303220515;0,905160267;13182098847;;
1000;50645481;1,051831754;440845650,6;;
1000;36333403;1,069554316;311025050,5;;
1100;72963977;1,033013679;646687644,6;;
1100;55917014;1,046660908;489136538,7;;
1100;49728894;1,052791096;432472737,2;;
1100;43621241;1,059725964;376874349,4;;
1100;57526854;1,045188075;503927798,5;;
1200;98242659;1,018172459;883427473,2;;
1200;73812366;1,032428845;654577592,8;;
1200;43754125;1,05956396;378080225,6;;
1200;54121100;1,04836001;472659407,9;;
1200;68900668;1,035922251;608959498,4;;
1300;72034096;1,033663327;638044750,6;;
1300;82484123;1,02684298;735458989,6;;
1300;82194454;1,027018963;732750613;;
1300;86490293;1,024476418;772960926,2;;
1300;61590744;1,041662918;541352796;;
1400;87862705;1,023693244;785826862,5;;
1400;78617492;1,029249909;699343408,4;;
1400;115941569;1,010091651;1050922112;;
1400;82913899;1,026583124;739478166,3;;
1400;162910546;0,993895224;1500723674;;
1500;110056853;1,012618896;995091923;;
1500;109335386;1,012938894;988256394,7;;
1500;111643089;1,01192335;1010127896;;
1500;113541653;1,011104956;1028137291;;
1500;168286911;0,99237615;1552623512;;
